"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"deviance" 8706.20605745546 2.83338127836062 8702.62512202572 8704.13008666462 8705.58439057096 8707.62816127864 8713.27661454092 1.00513314597443 730
"k" 0.250273428241832 0.0094513698864695 0.23237150742531 0.243448477896406 0.250272554173557 0.25691936700924 0.268662072780067 1.00840195924241 720
"l.inf" 89.1294608970763 0.76672040348488 87.7018399733385 88.5851782028501 89.0988198718496 89.6617619545116 90.6590537709254 1.00775418881727 760
"length.pred[1]" 29.8588550115194 1.9215271526747 26.2941236023373 28.5333593873664 29.7860746032102 31.1238569894882 33.8315514082877 1.00140263701434 4400
"length.pred[2]" 42.9900293464207 2.52834963910305 38.2614615507986 41.240938099165 42.9162314909699 44.6507495975505 48.1675519319018 1.00110904834877 12000
"length.pred[3]" 53.1421308830339 3.0717645628979 47.358387945243 51.0313175959078 53.0511301466599 55.1652664821587 59.3750157618528 1.00116056777756 9400
"length.pred[4]" 61.1492057209369 3.52882371004398 54.5527462936394 58.721552916579 61.0361642593927 63.4769769937814 68.4206677547631 1.00095009441301 30000
"length.pred[5]" 67.2762993467461 3.93908820264516 59.8482228263748 64.5840637790336 67.1396491324089 69.8868965089756 75.3564565574492 1.00119108605382 8300
"length.pred[6]" 72.1706785681559 4.21505116975433 64.2258500096931 69.290913334805 72.046194458171 74.9413438429199 80.7262068108951 1.00103186266665 24000
"length.pred[7]" 75.8920680603866 4.40729508603943 67.6846701908313 72.8782137346471 75.7095733241442 78.7462383796336 84.983846081071 1.00097576737185 30000
"length.pred[8]" 78.8068848924978 4.57651395261533 70.1845814331487 75.6439854946111 78.7058509259857 81.7774867184414 88.1541917743365 1.00094889937821 30000
"length.pred[9]" 81.0866919034224 4.7072602987019 72.2430535892246 77.8589191926015 80.9551005840958 84.1861801770957 90.5368167866967 1.00096102871337 30000
"length.pred[10]" 82.9019811609803 4.80979898094181 73.9309053819519 79.5850589949218 82.7749087685672 86.042635433142 92.736551375475 1.00095323307308 30000
"length.pred[11]" 84.2332691693706 4.87213607609198 75.1274364109884 80.8989661694146 84.0513408517187 87.4205507207814 94.2478818666736 1.00105227443665 19000
"length.pred[12]" 85.3136310166273 4.93525560054291 76.0668530816479 81.8979244241043 85.1916739610514 88.5538844313163 95.4088288021003 1.00100903270529 30000
"length.pred[13]" 86.1488519586814 5.00637079752728 76.7673808213277 82.6798104627582 85.9923894046076 89.4768322470715 96.2936388287942 1.00103481932141 23000
"length.pred[14]" 86.8201665106171 5.0217429857222 77.4171430234001 83.3801362994445 86.6608064501286 90.1226400007242 97.0202663052002 1.00095592927076 30000
"length.pred[15]" 87.3409875052994 5.05074847999504 77.9279085133111 83.8468180045156 87.1654626740772 90.6831672328104 97.7187425334126 1.00116858990309 9100
"length.pred[16]" 87.7696871060418 5.12260849575666 78.2159580530411 84.2272390152928 87.6468943779663 91.123849599794 98.2297863118722 1.00105798052157 18000
"length.pred[17]" 88.0416216761938 5.11317897319273 78.403249515486 84.579132918539 87.8561750135884 91.4035516047982 98.5225873245195 1.00125651016149 6500
"length.pred[18]" 88.2698613840674 5.16385317441071 78.7062659865893 84.67052487028 88.1012088958526 91.6621500377447 98.885686766319 1.00109261387531 14000
"length.pred[19]" 88.4078572693841 5.18068006004353 78.6132627718223 84.8473846941128 88.2795127007789 91.8493905299548 98.9016751984346 1.00097977614652 30000
"length.pred[20]" 88.5799538287113 5.16438187426813 78.944385436267 84.9688724085224 88.4434296258173 91.9267882571022 99.1802345192486 1.00097914009386 30000
"length.pred[21]" 88.6772117088573 5.18457094042615 78.8468422716629 85.0854911804263 88.5701685222516 92.118844160231 99.1101012953511 1.00097075232502 30000
"sd.log.length" 0.057931440946555 0.00105297410737035 0.0559442412040079 0.0572016572011401 0.0579142319309407 0.0586370690603325 0.0600444611455314 1.00095487879397 30000
"t0" -1.63268804993355 0.100271007653334 -1.83205773206912 -1.70071210305144 -1.6315437880032 -1.56107366708704 -1.44421711641853 1.00654403801252 780
