"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"deviance" 9581.07564352318 21.8034635328465 9538.88929383746 9566.22747575712 9580.95324508595 9595.78968896815 9623.96666183734 1.00133964725601 5100
"k" 0.489127626469529 0.00899378369121526 0.4719293251395 0.483039953698651 0.488995212109033 0.495069082025759 0.507273632503614 1.0027068768297 1100
"l.inf" 80.051101632843 0.341438298438039 79.3824484501346 79.8247308691557 80.0492314471501 80.2806156872343 80.7270263196147 1.00227923008222 1500
"length.pred[1]" 6.43241264344562 0.573387618070828 5.36735622522876 6.04045589989823 6.41178816270365 6.80310430736349 7.63557095889963 1.00112791041633 11000
"length.pred[2]" 34.90904517957 2.7161931384275 29.8828684380356 33.0258751518804 34.8031670849953 36.6840877820883 40.4947717614166 1.00096065775864 30000
"length.pred[3]" 52.3532638222307 4.04087755695507 44.9178729525351 49.5443962228803 52.2097977637899 54.9937131185764 60.7709083173808 1.00113291277189 11000
"length.pred[4]" 63.0830412042028 4.89798722919269 53.9807731083307 59.6570521425581 62.8948269253585 66.307021978225 73.1461878317772 1.0010438906508 21000
"length.pred[5]" 69.5660924642447 5.38186530843069 59.6635984144273 65.812521744789 69.3283907625893 73.0416344608084 80.7830058572733 1.00103218846159 24000
"length.pred[6]" 73.6857425497764 5.68474910539536 63.1463337205159 69.7356134637618 73.4948225820963 77.3890172797256 85.3358293024914 1.00111420335743 12000
"length.pred[7]" 76.1466788048205 5.85245469882712 65.3126242810862 72.0700311121772 75.9615177917238 79.9540986506028 88.2900195170753 1.00096233854256 30000
"length.pred[8]" 77.6554364204425 5.99931814708483 66.5244542674528 73.5126901968571 77.4249265565168 81.5225778392768 90.1108624992708 1.00096060786725 30000
"length.pred[9]" 78.6226270088272 6.07725726912186 67.4353985252985 74.3759295285325 78.3358257544318 82.520384795175 91.2424085072056 1.00095425339771 30000
"length.pred[10]" 79.1300005406208 6.08232277695139 67.90713548329 74.8337542354789 78.9654775749129 83.1081835064156 91.6374749294009 1.00095296979036 30000
"length.pred[11]" 79.4928202877563 6.18983199932934 67.9578772686574 75.2534689255705 79.2487194865159 83.5216807422496 92.2916952776602 1.00101996963605 28000
"length.pred[12]" 79.7251927137681 6.18166104203858 68.331515087047 75.4442089210899 79.4692127219337 83.7093150229251 92.5870300541869 1.00105163775353 19000
"length.pred[13]" 79.7915710885993 6.1748030052 68.4747833866326 75.4718968293678 79.5296716616639 83.7709935510822 92.7279870405547 1.00098161297633 30000
"length.pred[14]" 79.9206393275541 6.15663194415142 68.6041946795242 75.6157605705931 79.6890594693547 83.8951804427999 92.6046238666122 1.00097236733557 30000
"length.pred[15]" 79.9085672486871 6.12844976416466 68.530426880427 75.674711918819 79.6976672873168 83.9691916948541 92.4050692011753 1.00101075052569 30000
"length.pred[16]" 80.0273603432415 6.18945484040189 68.4874270463073 75.7332433287978 79.7876866321083 84.0728062300662 92.794229777241 1.00131032813495 5500
"length.pred[17]" 80.0533518199068 6.17642500900863 68.654273664163 75.7844031362797 79.8186738015099 84.0273405898254 92.879601158015 1.00096415040332 30000
"length.pred[18]" 80.1160924809734 6.2210880151932 68.6753912070166 75.8077979107361 79.8774121368308 84.1890559759328 92.9228146329353 1.00105527713612 19000
"length.pred[19]" 80.0485399569446 6.14938012963247 68.634674501802 75.7567515287355 79.8415866127643 84.0507495249751 92.8615793398999 1.0009758043913 30000
"length.pred[20]" 80.0630829251771 6.20983992210768 68.5993513962708 75.7522557119475 79.8296110532003 84.0687794490263 92.8367822013349 1.00102886257297 25000
"length.pred[21]" 80.0974905992079 6.17623089841731 68.7110691796633 75.7861993357414 79.8941393492172 84.1309636299738 92.7597408766576 1.00096574829005 30000
"sd.log.length" 0.0769777922504803 0.00150611367599485 0.0740290645065686 0.0759626694876824 0.076960264520744 0.0779802109097691 0.0799744773965716 1.00101664878703 29000
"t0" -1.49785804531048 0.865481492799841 -2.92297833213994 -2.24826902928938 -1.49766739694366 -0.747712877525597 -0.0747910102739132 1.00096211553613 30000
